name,booth,website,address,overview,country,email,phone,halls,portal_url,portal_status,ebooth_url,source
AECOM India Private Limited,H5909,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=16&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696443&Nav=False,eventmap
Aequs SEZ Private Limited,H3716,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=17&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=694699&Nav=False,eventmap
Aeromech Equipments Private Limited,H6729,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=18&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=693980&Nav=False,eventmap
Aether Semiconductors Private Ltd,1275,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=19&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698602&Nav=False,eventmap
AGC Asia Pacific (India) Pvt. Ltd.,133,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=20&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696350&Nav=False,eventmap
AGEM Innovation Private Limited,H6628,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=21&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697286&Nav=False,eventmap
Agilent Technologies,H4019,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=22&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696662&Nav=False,eventmap
Agnisys Technology Pvt. Ltd,H6533,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=23&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696683&Nav=False,eventmap
AGNIT Semiconductors Pvt Ltd,H4511,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=24&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698537&Nav=False,eventmap
AGRU Plastic Technology Pvt Ltd,H4824,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=25&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=695191&Nav=False,eventmap
AHEESA DIGITAL INNOVATIONS PRIVATE LIMITED,714,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=26&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=703496&Nav=False,eventmap
Aimil Ltd,H6021,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=27&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=693786&Nav=False,eventmap
Air Liquide India Holding Pvt Ltd,H4023,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=28&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=694839&Nav=False,eventmap
Air Water India Pvt Ltd,H3118,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=29&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=694438&Nav=False,eventmap
AirLife Gases Pvt. Ltd,H5911,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=30&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696266&Nav=False,eventmap
AIRTECH SYSTEMS INDIA PVT LTD,H6913,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=31&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696439&Nav=False,eventmap
Akribis Systems Pte Ltd,1123,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=32&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698115&Nav=False,eventmap
Akros Trading India Pvt Ltd,H6428,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=33&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=693884&Nav=False,eventmap
ALIGNED TEST PTE LTD,940,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=34&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698088&Nav=False,eventmap
ALLIED RESOURCING,H4922,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=35&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=695233&Nav=False,eventmap
AMD India Private Limited,1102,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=36&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664486&Nav=False,eventmap
Ami Polymer,H7321,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=37&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697147&Nav=False,eventmap
Amity University Uttar Pradesh Noida,H6308,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=38&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=701219&Nav=False,eventmap
Ample Semiconductors Private Limited,H7035,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=39&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697721&Nav=False,eventmap
ANANANT SYSTEMS PRIVATE LIMITED,H7607,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=40&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697392&Nav=False,eventmap
Andhra Pradesh Economic Development Board - Govt of Andhra Pradesh,H6605,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=41&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=701209&Nav=False,eventmap
ANEMO PRIME,H6031,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=42&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=693795&Nav=False,eventmap
Anora Instrumentation Private Limited,H4502,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=43&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=703459&Nav=False,eventmap
Ansell India Protective Products Pvt Ltd,1675,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=44&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696562&Nav=False,eventmap
APK AQUATECH PVT. LTD.,155,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=45&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=665118&Nav=False,eventmap
APP SYSTEMS SERVICES PTE LTD,1041,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=46&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698084&Nav=False,eventmap
Applied Materials India Pvt. Ltd.,402,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=47&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664360&Nav=False,eventmap
Aquatech Systems (Asia) Pvt. Ltd.,H7231,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=48&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=694143&Nav=False,eventmap
Arvind Envisol Limited,H6921,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=49&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697482&Nav=False,eventmap
ASAHI DIAMOND INDUSTRIAL INDIA PVT. LTD.,1339,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=50&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696053&Nav=False,eventmap
Ascentrade India Private Limited,H7526,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=51&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696688&Nav=False,eventmap
ASM HHV ENGINEERING PRIVATE LIMITED,577,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=52&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=693543&Nav=False,eventmap
ASM Technologies LTD,478,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=53&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=693541&Nav=False,eventmap
ASML Technology Taiwan Ltd,602,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=54&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=695595&Nav=False,eventmap
ASMPT Singapore,1346,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=55&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664784&Nav=False,eventmap
Assam Industrial Development Corporation Limited (Government of Assam),1246,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=56&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664754&Nav=False,eventmap
Assigned,,,,,,,,633|634,,no-portal-listed,,eventmap
Astec Valves & Fittings Pvt. Ltd.,H6926,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=57&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=694042&Nav=False,eventmap
Asterion Semitech Private Limited,H7023,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=58&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=694071&Nav=False,eventmap
Astro Plasma Private Limited,1039,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=59&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698083&Nav=False,eventmap
Atantri Communications Pvt Ltd,H3024,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=60&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697208&Nav=False,eventmap
ATCO ATMOSHPERIC AND SPECILAITY GASES,134,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=61&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664896&Nav=False,eventmap
Atlas Copco India Private Limited,1637,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=62&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696312&Nav=False,eventmap
Automated Tooling Systems India Pvt. Ltd,H6335,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=63&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697709&Nav=False,eventmap
Available,,,,,,,,633|634,,no-portal-listed,,eventmap
AVANT GARDE CLEANROOM & ENGG. SOLUTIONS PVT LTD,446,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=64&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=683674&Nav=False,eventmap
Avcon Technics Pvt Ltd,H3121,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=65&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697351&Nav=False,eventmap
Axiro Semiconductor Private Limited,1214,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=66&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=703492&Nav=False,eventmap
AZELIS (INDIA) PRIVATE LIMITED,H6124,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=67&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=693801&Nav=False,eventmap
BABA FINE CHEMICALS,H4223,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=68&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=694927&Nav=False,eventmap
"Bangalore Refinery Pvt Ltd.,",H7033,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=69&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=694080&Nav=False,eventmap
Bergen Systems Pvt. Ltd.,1276,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=70&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698604&Nav=False,eventmap
Besi Singapore Pte. Ltd.,534,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=71&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696229&Nav=False,eventmap
Bharat Forge Limited,H6616,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=72&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696645&Nav=False,eventmap
Bharat Semitech Pvt LTd,H6516,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=73&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696641&Nav=False,eventmap
Bharatam Mechatronics Private Limited,H6131,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=74&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696783&Nav=False,eventmap
BHORUKA SPECIALTY GASES PRIVATE LIMITED,H7207,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=75&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697920&Nav=False,eventmap
Bigprosolution PVT LTD,H4502,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=76&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=703462&Nav=False,eventmap
BIS INFOTECH,H7036,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=77&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697698&Nav=False,eventmap
"BMT Co., Ltd.",1646,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=78&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664874&Nav=False,eventmap
Brain Domain Pte Ltd,1127,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=79&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698117&Nav=False,eventmap
Bruker India Scientific Pvt Ltd,376,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=80&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=693515&Nav=False,eventmap
Bry-Air (Asia) Pvt. Ltd.,165,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=81&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696417&Nav=False,eventmap
Business Sweden,1224,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=82&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664743&Nav=False,eventmap
Cadence Design Systems,720,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=83&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696148&Nav=False,eventmap
CADFEM India - Ansys Elite Partner,H3523,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=84&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697455&Nav=False,eventmap
CALIBER INTERCONNECTS PRIVATE LTD,1632,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=85&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=695987&Nav=False,eventmap
Canon Singapore Pte Ltd,123,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=86&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=695625&Nav=False,eventmap
Carl Zeiss India (Bangalore) Pvt Ltd,H7505,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=87&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697388&Nav=False,eventmap
CCD Technical Solutions Pvt Limited,H5611,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=88&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696369&Nav=False,eventmap
CDIL Semiconductors Private Limited,1614,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=89&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664629&Nav=False,eventmap
CECO Environmental Solutions India Pvt. Ltd.,H4011,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=90&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696669&Nav=False,eventmap
Centre for Development of Advanced Computing,H3302,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=91&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697778&Nav=False,eventmap
Centre for Nano Science & Engineering (IISc),H6202,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=92&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=695462&Nav=False,eventmap
Centre for Semiconductor Technologies (SemiX) IIT Bombay,H3608,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=93&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697330&Nav=False,eventmap
CeramTec GmbH,H4116,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=94&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696657&Nav=False,eventmap
CG SEMI PRIVATE LIMITED,1214,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=95&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664509&Nav=False,eventmap
Chasen (India) Hi-Tech Logistics Services Private Limited,H5936,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=96&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=700954&Nav=False,eventmap
CHIPEX TECHNOLOGIES PRIVATE LIMITED,H7222,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=97&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697144&Nav=False,eventmap
ChipIN Centre,H3402,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=98&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698913&Nav=False,eventmap
Chipspirit Technologies Pvt Ltd,H4511,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=99&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698533&Nav=False,eventmap
Chukoh Chemical Industries Limited,H6426,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=100&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=693882&Nav=False,eventmap
Cir-Q-Tech Tako Technologies Pvt. Ltd.,256,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=102&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696300&Nav=False,eventmap
circuitEvolve,H4511,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=101&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=701620&Nav=False,eventmap
CKD Corporation,1368,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=103&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=665348&Nav=False,eventmap
Clariant,H3718,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=104&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=694702&Nav=False,eventmap
CleanTech Services India Pvt Ltd,338,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=105&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664959&Nav=False,eventmap
CN Water Systems Private Limited,H7514,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=106&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696620&Nav=False,eventmap
CNW- Courier Network,H4523,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=107&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697471&Nav=False,eventmap
